,#,*,/,//,+,-,..,<,<=,>,>=, ==,~=,(,),id,$
#,,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,>
*,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,>
/,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,>
//,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>,<,>
+,<,<,<,<,>,>,>,>,>,>,>,>,>,<,>,<,>
-,<,<,<,<,>,>,>,>,>,>,>,>,>,<,>,<,>
..,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
<,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
<=,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
>,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
>=,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
 ==,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
~=,<,<,<,<,<,<,<,>,>,>,>,>,>,<,>,<,>
(,<,<,<,<,<,<,<,<,<,<,<,<,<,<,=,<,
),>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,>
id,>,>,>,>,>,>,>,>,>,>,>,>,>,,>,,>
$,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,
